forecast_area_id,forecast_area_name,health_and_social_index_2013,health_and_social_index_2022,employment_and_social_index_2013,employment_and_social_index_2022,working_life_sub_index_2013,working_life_sub_index_2022,social_status_sub_index_2013,social_status_sub_index_2022,health_sub_index_2013,health_sub_index_2022
0706,Marienfelde,-.0668917,-.43652183,-.027713945,-.43560883,-.18713377,-.9371295,.13838023,.10455205,-.13871346,-.28451759
0707,Lichtenrade,.4447796,.16866054,.44071341,.21919069,.29322845,-.043277871,.54653007,.47154903,.37878057,.030988054
0801,Neukölln,-1.8528342,-2.0058587,-1.8067476,-2.1618814,-1.4861968,-1.7901611,-1.9496481,-2.3936939,-1.625718,-1.2343036
0802,Britz/Buckow,-.22751909,-.46496207,-.26853058,-.63329202,-.18370171,-.75371605,-.3278496,-.46772701,-.085157849,.11593395
0803,Gropiusstadt,-.80679858,-1.6240534,-1.0665078,-1.744012,-1.0699985,-1.7524068,-.95352042,-1.6171639,.015396978,-.9735232
0804,Buckow Nord/Rudow,.96296537,.66300195,.90051264,.51047176,.87294203,.34307438,.83636254,.64627713,.93030447,.99000269
0901,Treptow-Köpenick 1,.2876699,.38167414,.42874256,.51312494,.20299594,.40698886,.61592972,.58637846,-.10834487,-.047174364
0902,Treptow-Köpenick 2,-.43048123,-.18342698,-.0090001058,.06256897,-.34779906,-.29604194,.33886412,.42343667,-1.3840778,-.79143685
0903,Treptow-Köpenick 3,.85201353,.68596876,.87614864,.8028962,.75393432,.52193451,.91141617,1.0344887,.63021183,.26457107
0904,Treptow-Köpenick 4,.51903868,.66372687,.58774644,.52771378,.59435827,.53164852,.520679,.4879114,.23953481,.9197439
0905,Treptow-Köpenick 5,.95517367,1.0486515,.99255639,1.0696936,.97690821,.8968994,.90675449,1.1730599,.66946906,.81296664
1001,Marzahn,-.76508647,-.91229576,-.72619474,-.53141868,-1.3351129,-.65993667,-.028143007,-.36452329,-.65562755,-1.793786
1002,Hellersdorf,-1.0120102,-.95132494,-.87417299,-.79617274,-1.4897153,-.93322736,-.15415692,-.60262698,-1.1035724,-1.1874163
1003,Biesdorf,1.2106147,.89147007,1.177292,1.1351186,1.2138584,1.1935334,1.0190687,.99864662,1.0484315,.025230281
1004,Kaulsdorf/Mahlsdorf,1.6620616,1.4995805,1.400265,1.4646029,1.3875029,1.4645548,1.2696811,1.365304,1.9937021,1.3111181
1101,Hohenschönhausen Nord,-.66963935,-.90356904,-.56432772,-.73460692,-1.0698327,-1.0030609,.011219693,-.4114559,-.75729001,-1.1691579
1102,Hohenschönhausen Süd,.28714231,.12420107,.45439595,.14210068,.31014153,-.18183357,.55550075,.4622682,-.18252563,.095785856
1103,Lichtenberg Nord,-.42284247,-.55833972,-.15671748,.014157725,-.55455005,-.064371578,.26675329,.093150258,-.97815859,-2.0551968
1104,Lichtenberg Mitte,-.3614794,-.40907446,-.19152677,-.030474385,-.50936002,-.12966952,.15359327,.072586127,-.69203061,-1.3846473
1105,Lichtenberg Süd,.98065579,1.1008807,1.1426758,1.1884632,1.0995145,1.0573714,1.0696476,1.2413148,.37574241,.66159707
1210,Reinickendorf Ost,-.9497301,-1.0912939,-.89507335,-.87893546,-1.1444535,-1.0766793,-.54787481,-.61798614,-.87523073,-1.453359
1221,Tegel,-.5303151,-.70378631,-.43078807,-.61358398,-.54863179,-.90236092,-.26591796,-.27795088,-.6658808,-.78258854
1222,Heiligensee/Konradshöhe,1.7262068,1.5533463,1.4637202,1.4052331,1.5942464,1.4006644,1.1798947,1.3145638,2.0339148,1.6743584
1223,Frohnau/Hermsdorf,1.5505664,1.3867168,1.5179902,1.4071184,1.6427583,1.4559227,1.2344937,1.2619805,1.3102285,1.0567379
1230,Waidmannslust,-.31084183,-.68557835,-.26093566,-.61136866,-.35372844,-.88880742,-.13914363,-.28742957,-.36677498,-.72436059
