id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
1011101,.70700312,.36569428,.61668533,.06563177,1.1962581
1011102,,,,,
1011103,-1.4910268,-.96274322,-.16532983,-1.6309689,-2.2273395
1011104,-1.7241974,-2.1263702,-1.0487362,-2.9186726,-.51757973
1011105,,,,,
1011201,1.1661986,.65399492,.48914447,.73108768,1.9112432
1011202,,,,,
1011203,,,,,
1011204,.63956213,.49667439,.76697713,.15972435,.74023479
1011301,.52775019,1.0254173,1.1606737,.75256306,-.64021522
1011302,.66643935,.78542751,.88084191,.58461887,.23760417
1011303,.33495122,.39155316,.41013521,.32042974,.12807702
1011304,-.21626265,.18931739,-.11666297,.46989378,-.96457285
1011305,.53550327,.56464714,.34775802,.70576793,.34785956
1011306,-.060205199,.51112521,.25221863,.70144534,-1.192366
1011401,.69663608,.84941405,.90604693,.6788007,.19347288
1011402,.75002384,.89060307,1.046643,.61505568,.25027552
1022101,-.93461198,-1.0981411,-1.0562875,-.99263829,-.3527064
1022102,-1.8123937,-1.6361061,-1.4559255,-1.5967425,-1.6989292
1022103,,,,,
1022104,-.8745147,-1.0707971,-.71960419,-1.2783028,-.26415256
1022105,-1.1871626,-1.5706129,-1.2587065,-1.6717634,-.1077268
1022106,.26895443,.19771366,.13433382,.23456286,.34684002
1022201,-.97576833,-.91197729,-.56056678,-1.1410122,-.86946487
1022202,-2.0265596,-2.3704758,-1.6031677,-2.8196964,-.83538324
1022203,-1.4389786,-1.5842408,-1.258597,-1.6973,-.77945453
1022204,-.048628908,-.15387477,.12152185,-.40862337,.15953694
1022205,-1.9125491,-2.4417977,-.88739091,-3.6685469,-.43019104
1022206,.55012655,-.025584409,.28267905,-.33041477,1.5561538
1022207,.41149005,.39156422,.68411481,.046470758,.32062343
1033101,-1.8766011,-1.7125793,-1.9291543,-1.2661982,-1.6922294
1033102,-1.5667593,-1.2790515,-1.4801878,-.90628308,-1.7193198
1033201,-1.1393434,-1.7034233,-1.5603918,-1.6178774,.30838901
1033202,-.89733422,-.93038481,-1.1401852,-.59573877,-.57379979
1033203,-2.170073,-1.9284858,-1.7872689,-1.8109246,-2.0911586
1044101,-.77812845,-.75132352,-.93021047,-.47161868,-.61108565
1044102,-.6224373,-.56021494,-.88592881,-.15932748,-.55894369
1044103,-1.0849853,-1.0320555,-.9234553,-1.0021672,-.90966362
1044201,-1.6369392,-1.767873,-1.8647529,-1.4337674,-.92306322
1044202,-1.1199385,-1.1891432,-.89419848,-1.3245202,-.69920254
1044203,-2.4150159,-1.9720719,-1.6029727,-2.0765443,-2.6980731
2010101,-1.8704134,-2.3588724,-1.6291728,-2.7720418,-.42319995
2010102,-2.5918868,-2.9476662,-2.1704566,-3.3293369,-1.2254281
2010103,-2.2539194,-2.5687108,-2.7634282,-2.0293055,-.99180901
2010104,-2.7761753,-3.4616098,-2.3663025,-4.0924139,-.70983487
2020201,,,,,
2020202,-.14212939,-.39189401,-.23132206,-.49987885,.39461252
2020203,.021068919,-.16554955,-.051176235,-.25770825,.38834965
2020204,-.55168676,-.44340411,.0050879642,-.83239704,-.65711033
2020205,-.21704103,-.48648193,-.041820783,-.8658635,.35951138
2020206,-.81931013,-1.069479,-.65772241,-1.3377253,-.11806779
2030301,-2.7772892,-2.9139283,-1.6530809,-3.7837641,-1.8435574
2030302,-1.6159066,-2.0938146,-1.2462995,-2.6603668,-.2670655
2030401,-1.1205037,-1.159277,-.65758574,-1.505408,-.7766872
2030402,-.7124939,-1.1778126,-.58065307,-1.6169249,.38616493
2040501,-.60515565,-.031043427,-.45985061,.40192938,-1.58445
2040502,.2062144,.32899845,.075458385,.53839117,-.081655838
2040503,.42495981,.59174424,.51716107,.586923,-.024416247
2040701,-.007791114,.056731276,-.057096593,.16294654,-.12928267
2040702,.55270404,.55707896,.57394737,.46545771,.39417556
2040703,,,,,
2050601,-.43692276,-.02450091,.042564463,-.088278577,-1.1668776
2050602,.098266624,-.012838789,.14541414,-.16936892,.28741571
2050801,-.51089531,-.030766804,-.11328103,.055875935,-1.3485005
2050802,.28776601,.49777028,.43690276,.49184346,-.2140497
2050803,-.086595528,.16523898,-.018692803,.32699782,-.56447834
2050804,-.27333656,1.2898844,1.3581424,1.0485406,-3.3979108
3010101,-1.4573673,-.70046371,-.58791822,-.71901596,-2.6202972
3010102,-1.038196,-.43886924,-.88514012,.066292256,-1.9514824
3010104,,,,,
3020203,.74207002,.90951085,.69063741,1.0063397,.21663088
3020209,.63098514,.73649347,.74299246,.63116658,.2456148
3020210,.31608549,.6074577,.8456893,.28771308,-.38110775
3020307,.81380498,.67364013,.73390114,.52298534,.87728935
3030405,.74319679,.58158749,.54310054,.5420329,.87656111
3030406,1.3367093,1.2712734,1.3222038,1.0497545,1.1078498
3030711,1.1372608,1.2616185,1.2186975,1.1352464,.58104169
3030715,.9368512,1.0049924,1.0424269,.83270085,.54346454
3030716,1.4442517,1.4152845,1.2818669,1.3587891,1.1253276
3040508,1.1534925,1.0454133,1.0252516,.92529392,1.0660489
3040512,.91289741,.94647026,.86371678,.90221965,.60521924
3040513,.64914668,.82984662,1.0336682,.51467037,.091082469
3040614,.41989878,.51570356,.42499465,.53721172,.11802731
3040818,.26465562,.42747173,.30340028,.49418199,-.13001092
3050919,-.018311499,.55567116,.33962131,.69715714,-1.1702275
3050920,-.34943277,.46545324,.20779778,.66065085,-1.9015253
3050923,-.24102682,-.080947287,-.12326659,-.027765902,-.50024766
3050924,-.62128633,-.18104078,-.17295867,-.16482955,-1.3543264
3050925,.04566016,.34740323,.21870498,.42948443,-.57365412
3051017,.57246429,.23999503,.15635198,.29143384,1.1039174
3051021,-.4167178,.041406337,-.41343173,.4906882,-1.2078047
3051022,.34655169,.39165056,-.075238198,.80598485,.19507501
3061126,.085522324,.34485632,.44428039,.199157,-.47432235
3061131,.3694306,.57355839,.56032759,.50982499,-.14574087
3061227,.58424503,.65753412,.70661849,.52021712,.27416176
3061228,.075319186,.12031255,-.051433824,.27591452,-.024416247
3061332,.057541829,.29057693,.69145203,-.14928983,-.46281615
3061429,-.15240593,-.12695776,-.40308258,.16620316,-.14355616
3061430,-.64721769,-.76161426,-.65625024,-.76477951,-.24740304
3061434,.091571093,.38303533,.29421812,.42045411,-.52194917
3061435,-.4214668,-.18223853,-.52805215,.18802914,-.77202648
3061441,1.4015183,1.5102153,1.5862635,1.2315156,.79776567
3071536,1.0233994,.84663612,.91900343,.6606611,1.1044999
3071537,.66134357,.6980775,.95495111,.34753084,.39024308
3071633,-1.2608844,-1.452592,-.26495099,-2.4453139,-.61647463
3071638,.37386546,.68323159,.74348199,.53130031,-.3627561
3071639,.62392038,.68094724,.77716696,.49335319,.33300349
4010101,-.62667167,-.85226816,-1.3513094,-.23886347,.038357958
4010102,,,,,
4010103,-.87795186,-1.2980342,-1.3520085,-1.0698804,.21968949
4020204,,,,,
4020205,1.6405853,1.436015,1.3244494,1.3548859,1.6260648
4020206,.56378305,.60726291,.9900924,.14294651,.29600894
4020207,1.4092958,1.1099023,1.1278214,.94304854,1.6412121
4020208,.85881323,.51180625,1.2684543,-.31351963,1.2824816
4020209,1.274806,1.5325531,1.5545886,1.3048687,.40451655
4020310,,,,,
4020311,.92947388,.7164377,.74829572,.58844292,1.1128019
4020312,-.0016717995,-.51789486,.93574363,-1.9020386,.94836551
4020313,.58587939,.44697332,.42554,.40842861,.71387249
4020314,,,,,
4030415,-3.0308611,-2.21259,-1.0375295,-3.0907495,-3.9733653
4030416,-.58773369,-.90884507,-.20417836,-1.4915565,.17512125
4030417,.38480711,-.015315585,.43260592,-.46118194,1.0664859
4030518,-.40574512,-.44445497,-.37059474,-.45867509,-.22307986
4030519,-.57495284,-.61286807,-.47645834,-.6670388,-.35299772
4030620,-.027107662,-.24724509,.071282431,-.53259552,.40684691
4030621,-.85089678,-1.0427868,-.30181152,-1.6438335,-.28396064
4030622,-.36339736,-.70747447,-.13436396,-1.1856511,.39563203
4030623,-.42548022,-.73493427,-.20298868,-1.1682612,.2824637
4030724,.42661682,.16230048,.32230768,-.019485358,.84044045
4030725,.65903592,.48391852,.58420837,.31869304,.8325755
4030726,.38972443,.056522332,.19385216,-.088392064,.9557935
4030827,-.16118592,-.54271173,-.32735127,-.6852473,.64585501
4030828,.47185403,.31873763,.4519304,.14277439,.64833099
4030929,.23168164,.25389126,.78060013,-.30688652,.08613044
4030930,.58110809,.44995263,.7745077,.065019712,.6695956
4030931,.75297207,.071912505,.45340353,-.31922826,1.9144474
4031032,.6292817,.42338002,.48586625,.30408162,.87641549
4041133,,,,,
4041134,.61053526,.46467638,1.0780118,-.2110126,.70032728
4041135,.92786109,1.0520639,1.4178919,.54506254,.39869064
4041136,1.0474088,.96855789,1.0721226,.73502523,.91981852
4041137,.64195496,.46825463,.52277458,.35090095,.82048672
4041238,.58061749,.79747272,.72414064,.76379418,-.01291007
4041239,,,,,
4041240,1.4479475,1.4260308,1.4878534,1.1728531,1.0995479
4041241,.90706253,.70623755,.95049244,.36721465,1.0561448
4041342,-.0044808351,-.30767316,-.056939695,-.51712084,.59793687
4041343,.26918936,.23397754,.55205148,-.11549316,.24590608
4041344,.89329863,.55326748,.76950496,.26278859,1.3324387
4051445,.34407574,.22281779,.2276179,.18811841,.49904197
4051446,.71207547,.47948563,.62098563,.27364483,.98579699
4051447,.23022982,.25807133,.35410985,.12740298,.10462771
4051448,.50680256,.3977474,.45948148,.28264073,.58905232
4051549,.27436525,.15036353,.1901865,.090363711,.45112386
4051550,.42094499,.29804263,.37988541,.17620638,.55307734
4051551,.13345943,-.11703369,.076690577,-.29505354,.59531522
4051652,.50038677,.3675558,.54078072,.14500964,.62488168
